PID,TIME,%CPU,%MEM,USER,COMMAND
1,00:00:10,0.0,0.0,root,systemd
2,00:00:00,0.0,0.0,root,kthreadd
3,00:00:00,0.0,0.0,root,rcu_gp
4,00:00:00,0.0,0.0,root,rcu_par_gp
9,00:00:00,0.0,0.0,root,mm_percpu_wq
10,00:00:07,0.0,0.0,root,ksoftirqd/0
11,00:04:26,0.0,0.0,root,rcu_sched
12,00:00:00,0.0,0.0,root,migration/0
13,00:00:00,0.0,0.0,root,idle_inject/0
14,00:00:00,0.0,0.0,root,cpuhp/0
15,00:00:00,0.0,0.0,root,cpuhp/1
16,00:00:00,0.0,0.0,root,idle_inject/1
17,00:00:06,0.0,0.0,root,migration/1
18,00:00:06,0.0,0.0,root,ksoftirqd/1
21,00:00:00,0.0,0.0,root,cpuhp/2
22,00:00:00,0.0,0.0,root,idle_inject/2
23,00:00:01,0.0,0.0,root,migration/2
24,00:00:07,0.0,0.0,root,ksoftirqd/2
27,00:00:00,0.0,0.0,root,cpuhp/3
28,00:00:00,0.0,0.0,root,idle_inject/3
29,00:00:07,0.0,0.0,root,migration/3
30,00:00:05,0.0,0.0,root,ksoftirqd/3
33,00:00:00,0.0,0.0,root,kdevtmpfs
34,00:00:00,0.0,0.0,root,netns
35,00:00:00,0.0,0.0,root,rcu_tasks_kthre
36,00:00:00,0.0,0.0,root,kauditd
38,00:00:00,0.0,0.0,root,khungtaskd
39,00:00:00,0.0,0.0,root,oom_reaper
40,00:00:00,0.0,0.0,root,writeback
41,00:00:00,0.0,0.0,root,kcompactd0
42,00:00:00,0.0,0.0,root,ksmd
43,00:00:01,0.0,0.0,root,khugepaged
90,00:00:00,0.0,0.0,root,kintegrityd
91,00:00:00,0.0,0.0,root,kblockd
92,00:00:00,0.0,0.0,root,blkcg_punt_bio
93,00:00:00,0.0,0.0,root,tpm_dev_wq
94,00:00:00,0.0,0.0,root,ata_sff
95,00:00:00,0.0,0.0,root,md
96,00:00:00,0.0,0.0,root,edac-poller
97,00:00:00,0.0,0.0,root,devfreq_wq
98,00:00:00,0.0,0.0,root,watchdogd
101,00:00:17,0.0,0.0,root,kswapd0
102,00:00:00,0.0,0.0,root,ecryptfs-kthrea
104,00:00:00,0.0,0.0,root,kthrotld
105,00:00:00,0.0,0.0,root,irq/122-pciehp
106,00:00:00,0.0,0.0,root,irq/123-aerdrv
107,00:00:00,0.0,0.0,root,irq/124-aerdrv
108,00:00:00,0.0,0.0,root,acpi_thermal_pm
111,00:00:00,0.0,0.0,root,vfio-irqfd-clea
115,00:00:00,0.0,0.0,root,ipv6_addrconf
124,00:00:00,0.0,0.0,root,kstrp
143,00:00:00,0.0,0.0,root,charger_manager
189,00:00:00,0.0,0.0,root,scsi_eh_0
190,00:00:00,0.0,0.0,root,scsi_tmf_0
191,00:00:00,0.0,0.0,root,nvme-wq
192,00:00:00,0.0,0.0,root,nvme-reset-wq
193,00:00:00,0.0,0.0,root,nvme-delete-wq
199,00:00:00,0.0,0.0,root,cryptd
362,00:00:16,0.0,0.0,root,jbd2/nvme0n1p3-
363,00:00:00,0.0,0.0,root,ext4-rsv-conver
406,00:00:11,0.0,0.4,root,systemd-journal
432,00:00:07,0.0,0.0,root,systemd-udevd
434,00:00:00,0.0,0.0,root,loop0
441,00:00:00,0.0,0.0,root,loop1
449,00:00:00,0.0,0.0,root,loop2
456,00:00:00,0.0,0.0,root,loop3
460,00:00:00,0.0,0.0,root,loop4
465,00:00:00,0.0,0.0,root,loop5
493,00:00:00,0.0,0.0,root,loop6
496,00:00:00,0.0,0.0,root,loop7
497,00:00:00,0.0,0.0,root,loop8
498,00:00:00,0.0,0.0,root,loop9
499,00:00:00,0.0,0.0,root,loop10
500,00:00:00,0.0,0.0,root,loop11
501,00:00:00,0.0,0.0,root,loop12
502,00:00:00,0.0,0.0,root,loop13
503,00:00:00,0.0,0.0,root,loop14
504,00:00:00,0.0,0.0,root,loop15
505,00:00:00,0.0,0.0,root,loop16
506,00:00:00,0.0,0.0,root,loop17
509,00:00:00,0.0,0.0,root,loop18
510,00:00:00,0.0,0.0,root,loop19
525,00:00:00,0.0,0.0,root,loop20
532,00:00:00,0.0,0.0,root,irq/134-lis2dh1
553,00:00:00,0.0,0.0,root,loop21
555,00:00:00,0.0,0.0,root,cfg80211
567,00:00:00,0.0,0.0,root,loop22
573,00:08:42,0.1,0.0,root,irq/137-iwlwifi
586,00:00:00,0.0,0.0,root,loop23
616,00:00:00,0.0,0.0,root,loop24
712,00:00:25,0.0,0.0,systemd+,systemd-resolve
713,00:00:00,0.0,0.0,systemd+,systemd-timesyn
739,00:01:24,0.0,0.0,root,haveged
796,00:00:03,0.0,0.0,root,accounts-daemon
798,00:00:16,0.0,0.0,root,acpid
803,00:00:03,0.0,0.0,avahi,avahi-daemon
805,00:00:00,0.0,0.0,root,cron
809,00:00:59,0.0,0.0,message+,dbus-daemon
810,00:00:55,0.0,0.0,root,NetworkManager
813,00:00:18,0.0,0.0,root,earlyoom
819,00:00:16,0.0,0.0,root,irqbalance
829,00:00:00,0.0,0.0,root,networkd-dispat
840,00:00:03,0.0,0.0,root,polkitd
848,00:00:01,0.0,0.0,syslog,rsyslogd
849,00:00:00,0.0,0.0,root,smartd
850,00:00:32,0.0,0.1,root,snapd
857,00:00:00,0.0,0.0,root,switcheroo-cont
864,00:00:05,0.0,0.0,root,systemd-logind
866,00:00:08,0.0,0.0,root,thermald
867,00:00:20,0.0,0.0,root,udisksd
882,00:00:04,0.0,0.0,root,wpa_supplicant
892,00:00:00,0.0,0.0,avahi,avahi-daemon
997,00:00:01,0.0,0.0,root,ModemManager
1021,00:00:00,0.0,0.1,root,unattended-upgr
1033,00:00:00,0.0,0.0,root,vsftpd
1070,00:00:00,0.0,0.0,root,sddm
1094,02:33:11,3.0,1.0,root,Xorg
1222,00:03:54,0.0,0.0,root,iio-sensor-prox
1281,00:00:06,0.0,0.0,clamav,freshclam
1287,00:00:04,0.0,0.0,root,nmbd
1293,00:00:34,0.0,0.0,root,hamachid
1298,00:00:17,0.0,0.0,kernoops,kerneloops
1311,00:00:17,0.0,0.0,kernoops,kerneloops
1313,00:03:25,0.0,0.0,root,teamviewerd
1338,00:00:00,0.0,0.0,root,iprt-VBoxWQueue
1341,00:00:00,0.0,0.0,root,iprt-VBoxTscThr
1413,00:00:01,0.0,0.0,rtkit,rtkit-daemon
1447,00:00:00,0.0,0.0,root,bluetoothd
1527,00:00:09,0.0,0.0,root,upowerd
1605,00:00:00,0.0,0.0,root,krfcommd
1726,00:00:00,0.0,0.0,root,smbd
1728,00:00:00,0.0,0.0,root,smbd-notifyd
1729,00:00:00,0.0,0.0,root,cleanupd
1732,00:00:02,0.0,0.0,root,lpqd
1739,00:03:12,0.0,0.2,root,core
1920,00:00:00,0.0,0.0,root,sddm-helper
1922,00:00:00,0.0,0.0,vektor,systemd
1923,00:00:00,0.0,0.0,vektor,(sd-pam)
1932,00:17:31,0.3,5.7,vektor,kited
1933,00:00:00,0.0,0.0,vektor,powerline-daemo
1934,01:28:41,1.7,0.1,vektor,pulseaudio
1948,00:00:10,0.0,0.0,vektor,dbus-daemon
1953,00:00:00,0.0,0.0,vektor,startplasma-x11
2006,00:00:00,0.0,0.0,vektor,ssh-agent
2029,00:00:00,0.0,0.0,vektor,start_kdeinit
2032,00:00:00,0.0,0.0,vektor,kdeinit5
2034,00:00:18,0.0,0.1,vektor,klauncher
2042,00:01:42,0.0,0.9,vektor,kded5
2049,00:00:29,0.0,0.0,vektor,kaccess
2060,00:00:23,0.0,0.1,vektor,kglobalaccel5
2067,00:00:00,0.0,0.0,vektor,dconf-service
2074,00:00:00,0.0,0.0,vektor,xsettingsd
2081,00:00:00,0.0,0.0,vektor,plasma_session
2089,00:00:31,0.0,0.1,vektor,ksmserver
2104,00:01:48,0.0,0.0,vektor,core
2112,03:31:15,4.2,1.0,vektor,kwin_x11
2123,00:00:17,0.0,0.1,vektor,polkit-kde-auth
2125,01:16:23,1.5,3.3,vektor,plasmashell
2131,00:00:11,0.0,0.2,vektor,baloo_file
2133,00:00:18,0.0,0.0,vektor,xembedsniproxy
2137,00:00:48,0.0,0.2,vektor,kdeconnectd
2144,00:00:17,0.0,0.0,vektor,gmenudbusmenupr
2146,00:00:33,0.0,0.1,vektor,DiscoverNotifie
2166,00:00:27,0.0,0.1,vektor,org_kde_powerde
